height,atr,position,mean,sd
high,tense,initial,13.73,1.29
high,tense,medial,13.12,0.87
high,tense,final,12.93,1.06
high,lax,initial,13.57,0.9
high,lax,medial,13.27,0.76
high,lax,final,13.09,0.82
mid,tense,initial,15.75,1.09
mid,tense,medial,14.71,0.94
mid,tense,final,14.8,1.02
mid,lax,initial,15.89,1.17
mid,lax,medial,14.51,0.91
mid,lax,final,14.66,1.01
low,tense,initial,17.74,1.57
low,tense,medial,16.28,1.55
low,tense,final,16.03,1.56
low,lax,initial,18.67,0.98
low,lax,medial,17.13,1.14
low,lax,final,17.93,1.76
