word,sentence,translation,gloss
lag,A veghi ul lag,,lake
sed,A g'ho sed,,thirst
fig,A veghi ul fig,,fig
nas,A veghi ul nas,,nose
tus,A veghi ul tus,,boy
fög,A veghi ul fög,,fire
göb,A veghi ul göb,,hunchback
növ,,,new.ms
möd,,,way
sach,A veghi ul sach,,sack
set,,,seven
pich,,,stroke
pass,A faghi un pass,,step
tuss,A g'ho la tuss,,cough
lag,,,lake
sed,,,thirst
fig,,,fig
nas,,,nose
tus,,,boy
fög,,,fire
göb,,,hunchback
növ,,,new.ms
möd,,,way
sach,,,sack
set,,,seven
pich,,,stroke
pass,,,step
tuss,,,cough
